????,08/0~4?,08/5~9?,08/10~14?,08/15~19?,08/20~24?,08/25~29?,08/30~34?,08/35~39?,08/40~44?,08/45~49?,08/50~54?,08/55~59?,08/60~64?,08/65~69?,08/70~74?,08/75~79?,08/80~84?,08/85~89?,08/90~94?,08/95~99?,08/100? ??
??? ??? ??2?(4163052000),"2,762","2,890","2,049","1,323","1,155","2,009","3,405","4,205","2,646","1,880","1,604","1,183","1,166","1,003",648,346,177,71,35,7,0
,09/0~4?,09/5~9?,09/10~14?,09/15~19?,09/20~24?,09/25~29?,09/30~34?,09/35~39?,09/40~44?,09/45~49?,09/50~54?,09/55~59?,09/60~64?,09/65~69?,09/70~74?,09/75~79?,09/80~84?,09/85~89?,09/90~94?,09/95~99?,09/100? ??
,"3,185","3,293","2,374","1,625","1,267","2,075","3,771","4,877","3,189","2,191","1,888","1,366","1,324","1,203",761,397,212,86,50,9,1
,10/0~4?,10/5~9?,10/10~14?,10/15~19?,10/20~24?,10/25~29?,10/30~34?,10/35~39?,10/40~44?,10/45~49?,10/50~54?,10/55~59?,10/60~64?,10/65~69?,10/70~74?,10/75~79?,10/80~84?,10/85~89?,10/90~94?,10/95~99?,10/100? ??
,"4,792","4,288","3,445","2,499","1,941","3,145","5,412","6,775","4,775","3,250","2,815","2,090","1,936","1,624","1,135",582,324,147,52,11,1
,11/0~4?,11/5~9?,11/10~14?,11/15~19?,11/20~24?,11/25~29?,11/30~34?,11/35~39?,11/40~44?,11/45~49?,11/50~54?,11/55~59?,11/60~64?,11/65~69?,11/70~74?,11/75~79?,11/80~84?,11/85~89?,11/90~94?,11/95~99?,11/100? ??
,"4,803","4,395","3,679","2,682","2,074","2,772","5,434","6,748","5,417","3,364","3,014","2,402","1,919","1,704","1,274",656,335,173,53,13,2
,12/0~4?,12/5~9?,12/10~14?,12/15~19?,12/20~24?,12/25~29?,12/30~34?,12/35~39?,12/40~44?,12/45~49?,12/50~54?,12/55~59?,12/60~64?,12/65~69?,12/70~74?,12/75~79?,12/80~84?,12/85~89?,12/90~94?,12/95~99?,12/100? ??
,"4,520","4,631","3,847","2,860","2,190","2,370","5,156","6,615","5,880","3,577","3,051","2,498","1,950","1,741","1,411",721,363,179,63,17,6
,13/0~4?,13/5~9?,13/10~14?,13/15~19?,13/20~24?,13/25~29?,13/30~34?,13/35~39?,13/40~44?,13/45~49?,13/50~54?,13/55~59?,13/60~64?,13/65~69?,13/70~74?,13/75~79?,13/80~84?,13/85~89?,13/90~94?,13/95~99?,13/100? ??
,"4,265","4,674","3,911","3,017","2,280","2,184","4,730","6,220","6,223","3,890","3,090","2,662","1,950","1,812","1,477",834,381,177,66,16,5
,14/0~4?,14/5~9?,14/10~14?,14/15~19?,14/20~24?,14/25~29?,14/30~34?,14/35~39?,14/40~44?,14/45~49?,14/50~54?,14/55~59?,14/60~64?,14/65~69?,14/70~74?,14/75~79?,14/80~84?,14/85~89?,14/90~94?,14/95~99?,14/100? ??
,"3,835","4,699","3,891","3,234","2,353","2,015","4,110","5,838","6,316","4,273","3,105","2,733","1,959","1,874","1,528",894,429,179,74,19,4
,15/0~4?,15/5~9?,15/10~14?,15/15~19?,15/20~24?,15/25~29?,15/30~34?,15/35~39?,15/40~44?,15/45~49?,15/50~54?,15/55~59?,15/60~64?,15/65~69?,15/70~74?,15/75~79?,15/80~84?,15/85~89?,15/90~94?,15/95~99?,15/100? ??
,"3,614","4,644","3,903","3,408","2,574","1,979","3,658","5,611","6,440","4,620","3,171","2,859","2,171","1,986","1,561","1,003",483,203,83,14,4
,16/0~4?,16/5~9?,16/10~14?,16/15~19?,16/20~24?,16/25~29?,16/30~34?,16/35~39?,16/40~44?,16/45~49?,16/50~54?,16/55~59?,16/60~64?,16/65~69?,16/70~74?,16/75~79?,16/80~84?,16/85~89?,16/90~94?,16/95~99?,16/100? ??
,"3,289","4,569","4,008","3,522","2,665","2,016","3,075","5,484","6,372","5,098","3,291","3,006","2,455","1,908","1,652","1,090",551,236,90,21,5
,17/0~4?,17/5~9?,17/10~14?,17/15~19?,17/20~24?,17/25~29?,17/30~34?,17/35~39?,17/40~44?,17/45~49?,17/50~54?,17/55~59?,17/60~64?,17/65~69?,17/70~74?,17/75~79?,17/80~84?,17/85~89?,17/90~94?,17/95~99?,17/100? ??
,"2,767","4,277","4,137","3,523","2,723","2,068","2,547","5,068","6,073","5,392","3,391","2,975","2,605","1,900","1,714","1,248",595,262,90,29,5
,18/0~4?,18/5~9?,18/10~14?,18/15~19?,18/20~24?,18/25~29?,18/30~34?,18/35~39?,18/40~44?,18/45~49?,18/50~54?,18/55~59?,18/60~64?,18/65~69?,18/70~74?,18/75~79?,18/80~84?,18/85~89?,18/90~94?,18/95~99?,18/100? ??
,"2,397","3,941","4,033","3,528","2,779","2,014","2,236","4,691","5,551","5,646","3,655","3,030","2,678","1,925","1,744","1,317",695,285,93,37,4
,19/0~4?,19/5~9?,19/10~14?,19/15~19?,19/20~24?,19/25~29?,19/30~34?,19/35~39?,19/40~44?,19/45~49?,19/50~54?,19/55~59?,19/60~64?,19/65~69?,19/70~74?,19/75~79?,19/80~84?,19/85~89?,19/90~94?,19/95~99?,19/100? ??
,"2,072","3,517","3,917","3,466","2,951","2,128","2,052","4,056","5,181","5,615","4,069","3,063","2,777","1,966","1,835","1,398",757,323,109,35,10
,20/0~4?,20/5~9?,20/10~14?,20/15~19?,20/20~24?,20/25~29?,20/30~34?,20/35~39?,20/40~44?,20/45~49?,20/50~54?,20/55~59?,20/60~64?,20/65~69?,20/70~74?,20/75~79?,20/80~84?,20/85~89?,20/90~94?,20/95~99?,20/100? ??
,"1,724","3,199","3,711","3,375","3,052","2,369","1,976","3,480","4,830","5,537","4,229","3,082","2,857","2,193","1,884","1,459",867,377,120,41,7
,21/0~4?,21/5~9?,21/10~14?,21/15~19?,21/20~24?,21/25~29?,21/30~34?,21/35~39?,21/40~44?,21/45~49?,21/50~54?,21/55~59?,21/60~64?,21/65~69?,21/70~74?,21/75~79?,21/80~84?,21/85~89?,21/90~94?,21/95~99?,21/100? ??
,"1,524","2,891","3,580","3,353","3,072","2,429","2,018","2,952","4,689","5,302","4,589","3,175","3,001","2,489","1,815","1,567",975,448,134,43,7
,22/0~4?,22/5~9?,22/10~14?,22/15~19?,22/20~24?,22/25~29?,22/30~34?,22/35~39?,22/40~44?,22/45~49?,22/50~54?,22/55~59?,22/60~64?,22/65~69?,22/70~74?,22/75~79?,22/80~84?,22/85~89?,22/90~94?,22/95~99?,22/100? ??
,"1,432","2,653","3,523","3,426","3,067","2,598","2,201","2,740","4,679","5,159","4,985","3,438","3,124","2,691","1,920","1,648","1,108",502,159,43,9
,23/0~4?,23/5~9?,23/10~14?,23/15~19?,23/20~24?,23/25~29?,23/30~34?,23/35~39?,23/40~44?,23/45~49?,23/50~54?,23/55~59?,23/60~64?,23/65~69?,23/70~74?,23/75~79?,23/80~84?,23/85~89?,23/90~94?,23/95~99?,23/100? ??
,"1,296","2,285","3,289","3,340","3,075","2,724","2,276","2,416","4,377","4,858","5,179","3,702","3,183","2,860","2,053","1,723","1,181",573,179,38,11
,24/0~4?,24/5~9?,24/10~14?,24/15~19?,24/20~24?,24/25~29?,24/30~34?,24/35~39?,24/40~44?,24/45~49?,24/50~54?,24/55~59?,24/60~64?,24/65~69?,24/70~74?,24/75~79?,24/80~84?,24/85~89?,24/90~94?,24/95~99?,24/100? ??
,"1,124","1,992","2,951","3,260","2,956","2,652","2,281","2,161","3,828","4,576","5,173","4,042","3,226","2,994","2,141","1,828","1,292",604,197,43,10
